# this is an example snapshot_times.txt file
# copy this file into each Gizmo simulation directory,
# to be alongside the output/ directory that stores the snapshots
# times assume cosmology from Planck 2015
# @author: Andrew Wetzel <arwetzel@gmail.com>
# i scale-factor redshift time[Gyr] time_width[Myr]
  0 0.0100000 99.00000000  0.01721736   0.00000
  1 0.0322581 30.00000000  0.09975108  82.53377
  2 0.0384615 25.00000000  0.12986627  30.11519
  3 0.0476190 20.00000000  0.17890366  49.03739
  4 0.0500000 19.00000000  0.19248657  13.58291
  5 0.0526316 18.00000000  0.20787950  15.39294
  6 0.0555556 17.00000000  0.22543907  17.55957
  7 0.0588235 16.00000000  0.24561755  20.17848
  8 0.0625000 15.00000000  0.26899627  23.37872
  9 0.0656566 14.23076916  0.28962577  20.62950
 10 0.0688131 13.53211021  0.31075638  21.13060
 11 0.0719697 12.89473724  0.33237628  21.61990
 12 0.0751263 12.31092453  0.35447444  22.09817
 13 0.0782828 11.77419376  0.37704053  22.56609
 14 0.0814394 11.27906990  0.40006481  23.02428
 15 0.0830177 11.04562759  0.41174591  11.68110
 16 0.0845960 10.82089520  0.42353815  11.79224
 17 0.0861742 10.60439587  0.43544040  11.90226
 18 0.0877525 10.39568329  0.44745175  12.01135
 19 0.0893308 10.19434643  0.45957105  12.11930
 20 0.0909091 10.00000000  0.47179744  12.22639
 21 0.0924242  9.81967163  0.48363453  11.83709
 22 0.0939394  9.64516163  0.49556853  11.93400
 23 0.0954545  9.47619057  0.50759863  12.03010
 24 0.0969697  9.31250000  0.51972404  12.12540
 25 0.0984848  9.15384579  0.53194402  12.21999
 26 0.1000000  9.00000000  0.54425771  12.31369
 27 0.1015873  8.84375000  0.55725753  12.99982
 28 0.1031746  8.69230747  0.57035860  13.10107
 29 0.1047619  8.54545403  0.58356015  13.20155
 30 0.1063492  8.40298557  0.59686114  13.30099
 31 0.1079365  8.26470566  0.61026115  13.40001
 32 0.1095238  8.13043499  0.62375917  13.49801
 33 0.1111111  8.00000000  0.63735449  13.59532
 34 0.1128472  7.86153841  0.65233498  14.98050
 35 0.1145833  7.72727251  0.66742999  15.09501
 36 0.1163194  7.59701490  0.68263851  15.20852
 37 0.1180556  7.47058821  0.69795988  15.32137
 38 0.1197917  7.34782600  0.71339308  15.43321
 39 0.1215278  7.22857141  0.72893731  15.54423
 40 0.1232639  7.11267614  0.74459144  15.65412
 41 0.1250000  7.00000000  0.76035501  15.76358
 42 0.1266234  6.89743567  0.77519302  14.83801
 43 0.1282468  6.79746819  0.79012516  14.93214
 44 0.1298701  6.69999981  0.80515077  15.02561
 45 0.1314935  6.60493851  0.82026921  15.11844
 46 0.1331169  6.51219511  0.83547985  15.21064
 47 0.1347403  6.42168665  0.85078206  15.30221
 48 0.1363636  6.33333349  0.86617523  15.39317
 49 0.1379870  6.24705887  0.88165874  15.48351
 50 0.1396104  6.16279078  0.89723201  15.57327
 51 0.1412338  6.08045959  0.91289444  15.66243
 52 0.1428571  6.00000000  0.92864545  15.75101
 53 0.1444444  5.92307711  0.94413139  15.48594
 54 0.1460317  5.84782600  0.95970123  15.56984
 55 0.1476190  5.77419329  0.97535402  15.65279
 56 0.1492063  5.70212793  0.99108925  15.73522
 57 0.1507937  5.63157892  1.00690683  15.81759
 58 0.1523810  5.56250000  1.02280584  15.89901
 59 0.1539683  5.49484539  1.03878592  15.98008
 60 0.1555556  5.42857122  1.05484659  16.06066
 61 0.1571429  5.36363649  1.07098720  16.14061
 62 0.1587302  5.30000019  1.08720758  16.22039
 63 0.1603175  5.23762369  1.10350727  16.29969
 64 0.1619048  5.17647076  1.11988533  16.37806
